2005.7142899999999,565.71428600000002,0,0,694.28571399999998,-334.28571399999998,0,0,0,0,0,0,0,0,0,0
565.71428600000002,205.71428599999999,0,0,334.28571399999998,-154.28571400000001,0,0,0,0,0,0,0,0,0,0
0,0,150,0,0,0,75,0,0,0,0,0,0,0,0,0
0,0,0,150,0,0,0,75,0,0,0,0,0,0,0,0
694.28571399999998,334.28571399999998,0,0,4011.42857,-2.91704595e-14,0,0,694.28571399999998,-334.28571399999998,0,0,0,0,0,0
-334.28571399999998,-154.28571400000001,0,0,-2.9392504100000002e-14,411.42857099999998,0,0,334.28571399999998,-154.28571400000001,0,0,0,0,0,0
0,0,75,0,0,0,300,0,0,0,75,0,0,0,0,0
0,0,0,75,0,0,0,300,0,0,0,75,0,0,0,0
0,0,0,0,694.28571399999998,334.28571399999998,0,0,4011.42857,-4.3381314199999997e-14,0,0,694.28571399999998,-334.28571399999998,0,0
0,0,0,0,-334.28571399999998,-154.28571400000001,0,0,-4.36033588e-14,411.42857099999998,0,0,334.28571399999998,-154.28571400000001,0,0
0,0,0,0,0,0,75,0,0,0,300,0,0,0,75,0
0,0,0,0,0,0,0,75,0,0,0,300,0,0,0,75
0,0,0,0,0,0,0,0,694.28571399999998,334.28571399999998,0,0,2005.7142899999999,-565.71428600000002,0,0
0,0,0,0,0,0,0,0,-334.28571399999998,-154.28571400000001,0,0,-565.71428600000002,205.71428599999999,0,0
0,0,0,0,0,0,0,0,0,0,75,0,0,0,150,0
0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,150
