step,x_position
0,3.00000231049045185
1,3.00000428823130649
2,3.00000617142825821
3,3.00000797109865713
4,3.00000969111550431
5,3.00001131575398139
6,3.00001280984769325
7,3.00001412262482736
8,3.00001519226725444
9,3.00001595498060158
10,3.00001635890384089
11,3.00001637808555444
12,3.00001602092529929
13,3.00001533050600644
14,3.00001437794104353
15,3.00001325191820900
16,3.00001204768022767
17,3.00001085757509811
18,3.00000976402443209
19,3.00000883486367842
20,3.00000812061746691
21,3.00000765324124830
22,3.00000744598778768
23,3.00000749420081192
24,3.00000777693233855
25,3.00000825931295001
26,3.00000889558759765
27,3.00000963268157461
28,3.00001041410060232
29,3.00001118391394339
30,3.00001189053705852
31,3.00001249003261794
32,3.00001294868920088
33,3.00001324470934927
34,3.00001336892922144
35,3.00001332458429193
36,3.00001312621540173
37,3.00001279786830422
38,3.00001237077542049
39,3.00001188072329983
40,3.00001136530782464
41,3.00001086126641470
42,3.00001040205537928
43,3.00001001581323035
44,3.00000972381785003
45,3.00000953950798843
46,3.00000946809899638
47,3.00000950678144962
48,3.00000964545223781
49,3.00000986789387847
